Molecule_Name,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,,
1689896,-0.234295,0.159902,-0.074393,8.5,7.25,7.8025,0.7326450368357109,-35.9718,21.49808,342.778,56.51,2.693732,4,4,68.24,31.76,0.00037705,25.71183,192.5279,5,3,4.818900000000003,2625.13581,1.4632,24.5,,
17453,-0.182024,0.148254,-0.03377,25.55,7.11,22.885,16.024427446869982,-53.63057,18.79186,334.3550000000001,26.3,6.69168,2,4,57.03,42.97,0.00056871,24.927822,221.6934,3,3,2.955700000000001,2785.80477,1.3449,24.5,,
9899080,-0.231242,0.287661,0.056419,42.67,18.3,25.4725,13.964122555678175,-44.22258,49.388,193.227,63.31999999999999,2.167887,2,6,59.74,40.26,0.00063382,11.549576,209.6654,4,0,1.6517,1804.502,1.1999,24.5,,
1935492,-0.228434,0.180372,-0.048062,10.25,9.66,12.2775,4.282606536911837,-40.46905,18.48889,482.1240000000003,65.74000000000001,3.595948,5,4,54.86,45.14,0.0002767,41.106408,267.1922,7,3,5.662120000000003,2932.97096,1.842,24.5,,
1617643,-0.227623,0.161785,-0.065838,8.64,7.2,8.182500000000001,1.3092817687572067,-36.50183,27.48596,533.3300000000002,95.95000000000002,5.324549,7,4,54.59,45.41,0.00029278,32.350321,698.0835,8,5,6.421620000000004,3612.12159,1.6545,24.5,,
1562849,-0.232067,0.17406,-0.058007,7.4,10.09,9.895,3.569050994312074,-40.19993,21.02153,372.804,65.74000000000001,3.518663,5,5,59.28,40.72,0.00027773,33.967003,245.4465,6,3,5.428900000000004,2849.24919,1.4662,24.5,,
1779238,0.168394,0.162782,0.331176,28.85,12.22,22.6225,10.043192657218125,-253.17554,-108.20143,153.074,86.25,11.017741,4,2,0,100,0.00489483,22.658519,77.7828,6,0,-1.5682,1200.03008,1.4294,24.5,,
1779239,-0.229675,0.269049,0.039374,35.37,7.45,20.63,12.069714163972566,-60.41367,39.62522,155.09,80.59,7.112538,2,2,15.72,84.28,0.00099117,13.351251,52.4202,6,0,-0.3042,1138.80227,1.5261,24.5,,
1689840,-0.227493,0.145449,-0.082044,8.39,7.9,8.5025,1.0014083832283411,-38.13049,24.93334,431.22700000000015,78.88,6.168756,6,5,56.94,43.06,0.00044477,27.07014,200.288,8,4,5.344200000000003,2985.82164,1.6184,24.5,,
78225494,-0.180705,0.187191,0.006486,18.23,15.17,20.9475,8.250352643978315,-56.08126,63.30067,249.14,133.41,3.657859,7,6,55.76,44.24,0.00101847,25.573814,274.852,9,0,-1.2089,1874.99912,1.489,24.5,,
1696003,-0.22372,0.150371,-0.073348,8.67,7.43,8.26,0.9656603957913984,-35.07981,21.20892,344.7500000000001,65.74000000000001,2.9453,5,4,58.02,41.98,0.00025679,31.071209,292.1704,6,3,3.665200000000003,2529.16282,1.5275,24.5,,
1579351,-0.223712,0.149936,-0.073776,8.63,7.43,12.6175,8.430614968672215,-34.67652,53.11548,344.75000000000006,76.74000000000001,3.086222,4,4,62.98,37.02,0.00034522,27.507168,258.2534,6,3,3.965300000000002,2519.4889,1.5333,24.5,,
1579353,-0.223712,0.149936,-0.073776,8.63,7.43,12.6175,8.430614968672215,-34.67652,53.11548,344.75000000000006,76.74000000000001,3.086222,4,4,62.98,37.02,0.00034522,27.507168,258.2534,6,3,3.965300000000002,2519.4889,1.5333,24.5,,
1385274,-0.039308,0.223487,0.18418,41,26.53,32.045,7.960453818721644,-127.47191,-44.50819,185.23,18.46,4.45529,4,4,0,100,0.00148181,13.210688,66.6006,5,0,1.8308,1532.42387,1.3545,24.5,,
1711587,-0.066924,0.205062,0.138138,32.27,24.22,31.8525,8.533980240778627,-134.56373,-24.24368,195.135,104.48,7.141623,5,4,0,100,0.00185645,27.015595,116.0343,7,0,-1.1878,1533.4926,1.4259,24.5,,
1711589,-0.066924,0.205062,0.138138,32.27,24.22,31.8525,8.533980240778627,-134.56373,-24.24369,195.135,104.48,7.141623,5,4,0,100,0.00185645,27.015595,116.0343,7,0,-1.1878,1533.4926,1.4259,24.5,,
88762252,-0.252135,0.233644,-0.018491,22.41,19.99,18.315,6.320211626203666,-42.79626,32.23563,196.143,90.65,2.986393,5,5,47.62,52.38,0.00046113,13.35317,63.669,7,0,0.8357999999999999,1538.21411,1.4289,24.5,,
1045654,-0.189386,0.165441,-0.023944,6.27,7.6,8.1625,1.6584084991340344,-42.06187,45.69087,445.6530000000004,130.92000000000002,0.487648,8,4,42.35,57.65,0.00047691,57.805277,101.6479,10,3,4.112700000000002,2805.34152,1.7801,24.5,,
88764171,-0.229486,0.267774,0.038289,41.72,26.18,33.08,9.119624444021804,-30.95462,43.54124,107.093,46.25,1.266841,2,2,64.35,35.65,0.00046834,6.977135,55.1234,3,0,0.6593000000000001,992.26178,1.2094,24.5,,
1940260,-0.243434,0.304825,0.061392,38.26,7.64,22.42,14.345417386747586,-42.7188,29.6025,181.172,61.55,1.631599,4,5,66.7,33.3,0.00043268,11.374291,85.1541,5,0,1.5572,1564.04275,1.298,24.5,,
1940257,-0.243434,0.304825,0.061392,38.26,7.64,22.42,14.345417386747586,-42.7188,29.6025,181.172,61.55,1.631599,4,5,66.7,33.3,0.00043268,11.374291,85.1541,5,0,1.5572,1564.04275,1.298,24.5,,
1379341,-0.213534,0.130155,-0.083379,8.26,7.89,8.145,0.439459895781174,-29.16423,24.31695,346.18000000000006,52.33,4.138389,4,3,63.02,36.98,0.00016223,14.691609,217.7225,5,3,4.434000000000003,2320.25379,1.6719,24.5,,
1695693,-0.226283,0.154464,-0.071819,8.93,7.18,9.25,2.8077482080841936,-42.109,51.90654,344.75000000000006,76.74000000000001,3.690925,4,4,60.19,39.81,0.00048662,19.625103,418.0572,6,3,3.965300000000002,2535.58568,1.5236,24.5,,
1695695,-0.226283,0.154464,-0.071819,8.93,7.18,9.25,2.8077482080841936,-42.109,51.90654,344.75000000000006,76.74000000000001,3.690925,4,4,60.19,39.81,0.00048662,19.625103,418.0572,6,3,3.965300000000002,2535.58568,1.5236,24.5,,
1695842,-0.237095,0.156605,-0.08049,12.38,7.71,9.975,1.965585154604094,-38.97481,30.09892,431.22700000000015,78.88000000000001,8.07683,6,5,55.26,44.74,0.0003944,33.210621,482.4793,8,4,5.344200000000003,3006.22519,1.6074,24.5,,
4914899,-0.232654,0.160508,-0.072146,7.91,6.14,8.08,1.5139848083782086,-39.96049,27.95991,404.8020000000001,95.95000000000002,5.675839,7,6,56.2,43.8,0.00044647,37.923464,723.7539,8,3,4.062720000000003,2990.47514,1.5169,24.5,,
1551498,-0.055555,0.264286,0.208731,34.49,9.82,18.1625,10.142680550525094,-140.62026,-44.56285,138.083,90.83,6.580793,3,1,0,100,0.00208242,5.84047,44.6345,5,0,-2.1219,1103.06046,1.4028,24.5,,
1696004,-0.222997,0.150214,-0.072783,8.67,7.43,9.1975,2.4789047480691955,-35.25465,21.01588,358.77700000000016,65.74000000000001,3.00935,5,5,59.79,40.21,0.00024832,32.932394,273.8944,6,3,4.055300000000004,2686.05133,1.4968,24.5,,
1696005,-0.223466,0.151035,-0.072431,8.66,7.43,12.71,8.538492255662002,-35.51142,20.8832,372.8040000000002,65.74000000000001,3.021619,5,6,63.12,36.88,0.00024739,34.036229,265.5471,6,3,4.445400000000003,2843.68163,1.4691,24.5,,
1695650,-0.23752,0.162505,-0.075014,8.7,7.28,16.35,14.89529623740327,-40.02487,22.48991,314.7240000000001,56.51,2.462905,4,2,57.7,42.3,0.0004166,20.200722,522.975,5,3,4.038700000000002,2319.58367,1.5204,24.5,,
88774644,-0.216084,0.098236,-0.117848,3.28,4.21,3.8925,0.3897675589373749,-38.65445,51.82659,579.5640000000003,132.21,1.90813,4,6,44.75,55.25,0.00048179,51.059069,766.2597,8,7,7.810300000000007,4224.49412,1.5373,24.5,,
1695651,-0.237038,0.162403,-0.074635,8.55,7.28,14.1925,11.251518508628068,-40.11248,22.40731,342.7780000000001,56.51,2.421005,4,3,66.56,33.44,0.00040158,16.741807,543.7985,5,3,4.674800000000003,2626.31569,1.4625,24.5,,
1535554,-0.226884,0.163839,-0.063045,8.6,9.91,14.7675,11.45156621384167,-36.80749,26.94645,373.2020000000001,56.51,5.716766,4,3,55.14,44.86,0.00029159,14.873468,554.6272,5,3,4.537900000000002,2518.86981,1.6603,24.5,,
1242616,-0.231917,0.159738,-0.072179,8.17,6.28,8.2375,1.44106514425962,-40.93091,27.59337,376.7480000000001,95.95000000000002,4.374984,7,4,52.38,47.62,0.00043944,48.213476,352.041,8,3,3.2825200000000017,2676.79413,1.5772,24.5,,
1695653,-0.237097,0.162665,-0.074432,8.71,7.28,14.8075,12.17361978829633,-40.73176,22.21912,358.77700000000016,65.74000000000001,3.276819,5,4,60.61,39.39,0.00037924,25.437863,583.1084,6,3,5.038800000000004,2701.67042,1.4881,24.5,,
